Company Name,Website,Location
Evonik Industries AG,https://3d-printing.evonik.com/en,Germany
ExOne GmbH,www.exone.com,Germany
Exponential Technologies Ltd.,www.x-t.ai,Latvia
F. & G. Hachtel GmbH & Co. KG,www.fg-hachtel.com,Germany
FARSOON Europe GmbH,www.farsoon.com,Germany
Fehrmann Alloys GmbH & Co. KG,www.alloys.tech,Germany
FerroCrtalic d.o.o.,www.ferroecoblast.com,Slovakia
Formlabs GmbH,www.formlabs.com/de,Germany
Fraunhofer ILT,www.ilt.fraunhofer.de,Germany
Fraunhofer-Allianz Generative Fertigung,www.generativ.fraunhofer.de,Germany
Fraunhofer-Einrichtung für Additive,www.iapt.fraunhofer.de,Germany
GE Additive Germany GmbH,www.ge.com/additive,Germany
Gebr. Becker GmbH,www.becker-international.com,Germany
German RepRap GmbH,www.germanreprap.com,Germany
Grenzebach Maschinenbau GmbH,www.grenzebach.com,Germany
GTAI - Germany Trade & Invest,https://www.gtai.com/3D-printing,Germany
Guangzhou Heygears IMC. INC,www.heygears.com,China
H.C. Starck Inc.,www.hcstarcksolutions.com,USA
Höganäs AB,www.hoganas.com,Sweden
Hage 3D,www.hage3d.com,Austria
Hans Weber Maschinenfabrik GmbH,www.hansweber.de,Germany
HARZ Labs Distribution LLC,www.harzlabs.com,RU
Heraeus AMLOY Technologies GmbH,www.heraeus-amloy.com,Germany
Hessen Trade & Invest GmbH,http://www.technologieland-hessen.de?Ã‚Â,Germany
Hexagon Manufacturing Intelligence,www.hexagonmi.com,UK
Hiperbaric S.A.,www.hiperbaric.com,Spain
HP Inc.,www8.hp.com/,Spain
igus GmbH,www.igus.de,Germany
IK Office GmbH,www.ikoffice.de,Germany
Imaginarium Rapid Private Limited,www.imaginarium.io,India
Impact Innovations GmbH,www.impact-innovations.com,Germany
Infinite Material Solutions LLC,www.infinitematerialsolutions.com,USA
InssTek Inc.,www.insstek.com,Korea
INTAMSYS TECHNOLOGY CO. LTD,www.intamsys.com,China
Kanthal AB,www.kanthal.com,Sweden
KNF Neuberger GmbH,www.knf.com,Germany
Kumovis GmbH,www.kumovis.com,Germany
Kuraray Europe GmbH,www.kuraray.eu,Germany
Kurtz GmbH,www.kurtzersa.de,Germany
Laserline GmbH,https://www.laserline.com/en-int/,Germany
Lehmann&Voss&Co. KG / LEHVOSS,https://www.luvocom.de/en/products/3d-printing-materials/,Germany
LEO Lane Ltd.,www.leolane.com,Israel
Liberty Powder Metals Ltd,http://www.libertyhousegroup.com/our-businesses/liberty-steel/liberty-powder-metals/,UK
Lithoz GmbH,www.lithoz.com,Austria
LuxCreo Inc.,www.luxcreo.com,USA
Markforged Inc.,www.markforged.com,USA
Massivit 3D Printing Technologies Ltd.,www.massivit3d.com,Israel
Materialise NV,www.materialise.com,Belgium
Materials Solutions Limited,www.materialssolutions.co.uk,UK
Messer Group GmbH,www.messergroup.com,Germany
Microtrac Retsch,www.microtrac.com,Germany
Mimaki Europe B.V.,www.mimakieurope.com,Netherlands
Mimete S.r.l.,www.mimete.com,Italy
miniFactory Oy Ltd,www.minifactory.fi/en,Finland
Mitsubishi Electric,https://www.mitsubishielectric.com/en/index.html,J
Mitsubishi Heavy Industries Machine Tool,www.mhi-machinetool.com/en,J
Mitsui Mining & Smelting Co. Ltd,www.mitsui-kinzoku.co.jp/en/,J
MolyWorks Materials Corporation,www.molyworks.com,USA
NatureWorks,www.natureworksllc.com,USA
NematX AG,www.nematx.com,CH
Nexa3D Inc.,www.nexa3d.com,USA
Northbridge New Material,www.northbridge3d.com,China
Novanta,www.novanta.com,Germany
NTRON Ltd.,www.ntron.com,Ireland
OECHSLER AG,www.oechsler.com,Germany
Oerlikon AM GmbH,www.oerlikon.com,Germany
OPTOMEC Inc.,www.optomec.com,USA
Peter Lehmann AG,www.lehmann-rotary-tables.com,CH
Photocentric Ltd.,www.photocentricgroup.com,UK
PostProcess Technologies Inc.,www.postprocess.com,USA
Prima Additive,www.primapower.com,Italy
pro-beam additive GmbH,www.pro-beam.com,Germany
PRODWAYS SAS,www.prodways.com,France
Rahn AG,www.rahn-group.com,CH
RangeVision LLC,www.rangevision.com,RU
Rapidia Tech Inc.,www.rapidia.com,Canada
RENA Technologies Austria GmbH,www.rena.at,Austria
Renishaw GmbH,www.renishaw.de,Germany
Ricoh,www.ricoh.com,UK
RPS - Industrial 3D Printing Systems,www.rps.ltd,UK
S&S Scheftner GmbH,www.scheftner.dental,Germany
HBD Metal 3D Printer -,www.hb3dp.com,China
Shanghai Union Technology Corporation,www.uniontech3d.com,China
Shining 3D Technology GmbH,www.shining3d.com,Germany
Siemens AG,www.siemens.com,Germany
Sintratec AG,www.sintratec.com,CH
Slice Engineering,www.sliceengineering.com,USA
SLM Solutions Group AG,www.slm-solutions.com,Germany
Smart3D,www.smart3d.tech,AR
Solukon Maschinenbau GmbH,www.solukon.de,Germany
Spectroplast AG,www.spectroplast.com,CH
Start-Up Nation Central Ltd.,www.startupnationcentral.org,Israel
Stratasys GmbH,www.stratasys.com,Germany
Supfina Grieshaber GmbH & Co. KG,www.supfina.com,Germany
TANIOBIS GmbH,www.taniobis.com,Germany
TÜV SÜD Product Service GmbH,www.tuev-sued.de/ps,Germany
Tech Soft 3D,www.techsoft3d.com,USA
Tekna,www.tekna.com,France
The Lubrizol Corporation,www.lubrizol.com/Engineered-Polymers/Technologies/3D-Printing-Materials,USA
Thermwood Corporation,www.thermwood.com,USA
Titan Robotics Ltd.,www.titan3drobotics.com,USA
TOffeeAM LTD,www.toffeeam.co.uk,UK
trinckle 3D GmbH,www.trinckle.com,Germany
Tritone Technologies Ltd,www.tritoneam.com,Israel
TRUMPF Laser- und Systemtechnik GmbH,www.trumpf.com,Germany
Twikit NV,www.twikit.com,Belgium
U.S. Commercial Service,www.export.gov,Germany
Velo3D,www.velo3d.com,USA
Viaccess-Orca Israel ltd.,www.viaccess-orca.com,Israel
Victrex Europa GmbH,www.victrex.com,Germany
Visitech Engineering GmbH,www.visitech.no,Germany
voxeljet AG,www.voxeljet.com,Germany
VTT Technical Research Centre of,https://www.vttresearch.com,Finland
Würth Industrie Service GmbH & Co. KG,www.wuerth-industrie.com,Germany
Xact Metal Inc.,www.xactmetal.com,USA
Xi'an Bright Laser Technologies Co. Ltd,www.xa-blt.com,China
ZORTRAX S.A.,www.zortrax.com,Poland
GFMS Machining Solutions SA,www.gfmsadditive.com,CH
Optoprim Germany GmbH,www.optoprim.de,Germany
Zedex LLC TPK,www.plastmass-group.net,RU
Metalpine GmbH,www.metalpine.at,Austria
EMT Electronics Engineering Limited,https://www.x-tremeseries.com/,Turkey
The TCT Group,www.thetctgroup.com,UK
GPA Innova-Dlyte,www.dlyte.es,Spain
Thermo Fisher Scientific,www.thermofisher.com,Netherlands
EVO-tech GmbH,www.evo-tech.eu,Austria
BigRep GmbH,www.bigrep.com,Germany
Anisoprint SARL,www.anisoprint.com,Luxemborg
Lynxter SAS,www.lynxter.fr,FR
Technische Universität Darmstadt,www.tu-darmstadt.de,Germany
Meltio - DirectedMetal 3D SL,www.meltio3d.com,Spain
Uniz Technology LLC,www.uniz.com,USA
Artec Europe Sarl,www.artec3d.com,Luxemborg
EnvisionTEC GmbH,www.envisiontec.com,Germany
ZVerse Inc.,www.zverse.com,USA
LOOP 3D EUROPE SP. Z O.O.,https://loop3dprinter.com/,Poland
Ingersoll Machine Tools Inc.,www.ingersoll.com,USA
